Row ID,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
0,184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93
1,313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,41.05
2,387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9
3,162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
4,252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
5,393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,39.58
6,289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24
7,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13
8,333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68
9,393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85
10,480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89
11,261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72
12,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14
13,145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54
14,162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
15,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8
16,397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
17,153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28,25.56
18,122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35
19,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
20,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
21,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
22,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
23,388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6
24,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
25,289.0,133.7,0.0,194.9,5.5,924.1,760.1,28,46.25
26,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
27,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
28,133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,27.87
29,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
30,305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
31,397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.94
32,385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92
33,148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
34,166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
35,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
36,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100,56.74
37,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
38,145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
39,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
40,275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24
41,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25
42,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
43,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.51
44,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
45,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
46,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14
47,122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,3.32
48,405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28,52.3
49,350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
50,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,25.02
51,374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
52,194.7,0.0,100.5,170.2,7.5,998.0,901.8,100,44.28
53,316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.7
54,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86
55,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54
56,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
57,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
58,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
59,159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
60,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
61,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42
62,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
63,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
64,331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24
65,387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
66,313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
67,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
68,162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76
69,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1
70,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
71,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
72,145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.16
73,203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54
74,194.7,0.0,100.5,170.2,7.5,998.0,901.8,3,12.18
75,277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
76,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
77,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
78,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93
79,359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,59.49
80,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
81,307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.49
82,310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
83,222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
84,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
85,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
86,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
87,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
88,153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,17.96
89,290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
90,276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28
91,154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.74
92,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
93,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54
94,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180,61.92
95,154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5
96,322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43
97,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,25.12
98,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,31.97
99,233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84
100,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.48
101,249.1,0.0,98.8,158.1,12.8,987.8,889.0,56,42.03
102,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
103,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63
104,277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64
105,295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
106,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99
107,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28,52.5
108,233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14
109,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77
110,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
111,279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
112,102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28
113,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
114,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45
115,249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06
116,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
117,139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.44
118,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54
119,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13
120,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100,59.3
121,307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53
122,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84
123,505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.02
124,162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
125,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7,14.54
126,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9
127,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57
128,277.0,0.0,0.0,191.0,0.0,968.0,856.0,14,21.26
129,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,36.3
130,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100,47.74
131,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28,51.33
132,298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
133,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52
134,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
135,326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68
136,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7
137,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9
138,290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5
139,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
140,212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
141,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
142,212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0
143,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
144,326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,61.23
145,287.0,121.0,94.0,188.0,9.0,904.0,696.0,28,41.94
146,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
147,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
148,228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
149,330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,56.62
150,273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
151,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
152,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
153,303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
154,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100,47.82
155,387.0,20.0,94.0,157.0,13.9,938.0,845.0,3,25.51
156,424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05
157,102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
158,202.0,11.0,141.0,206.0,1.7,942.0,801.0,28,21.97
159,385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.27
160,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
161,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42
162,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0
163,192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
164,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
165,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
166,252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95
167,151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
168,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,58.61
169,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2
170,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,17.44
171,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
172,387.0,20.0,94.0,157.0,13.9,938.0,845.0,56,47.97
173,157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38
174,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
175,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92
176,148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,17.95
177,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3
178,264.5,111.0,86.5,195.5,5.9,832.6,790.4,28,41.54
179,366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91
180,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,23.35
181,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.3
182,255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8
183,234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3
184,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
185,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4
186,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77
187,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98
188,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
189,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71
190,491.0,26.0,123.0,201.0,3.9,822.0,699.0,3,29.55
191,236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,12.84
192,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,51.04
193,236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08
194,290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86
195,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
196,491.0,26.0,123.0,201.0,3.9,822.0,699.0,56,61.86
197,194.7,0.0,100.5,170.2,7.5,998.0,901.8,28,37.27
198,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
199,159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46
200,159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
201,516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.37
202,151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.57
203,387.0,20.0,94.0,157.0,14.3,938.0,845.0,3,22.75
204,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
205,239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.42
206,313.8,0.0,112.6,169.9,10.1,925.3,782.9,28,38.46
207,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
208,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5
209,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
210,450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.38
211,389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4
212,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.69
213,250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64
214,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28
215,284.0,15.0,141.0,179.0,5.5,842.0,801.0,56,44.52
216,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
217,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3
218,252.3,0.0,98.8,146.3,14.2,987.8,889.0,3,21.78
219,272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.25
220,307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,32.92
221,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72
222,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
223,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
224,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9
225,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75
226,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
227,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
228,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,40.86
229,302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75
230,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3,17.37
231,491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
232,480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.28
233,424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
234,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
235,288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.8
236,153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28,19.01
237,277.0,0.0,0.0,191.0,0.0,968.0,856.0,28,25.97
238,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56,51.43
239,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
240,108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.59
241,393.0,0.0,0.0,192.0,0.0,940.0,758.0,3,19.11
242,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.73
243,272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.17
244,173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,11.39
245,280.0,129.0,100.0,172.0,9.0,825.0,805.0,28,52.82
246,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28,20.87
247,295.7,0.0,95.6,171.5,8.9,955.1,859.2,56,48.72
248,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
249,287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
250,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
251,116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02
252,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,47.4
253,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7
254,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
255,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
256,316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.44
257,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3
258,273.0,105.0,82.0,210.0,9.0,904.0,680.0,28,37.17
259,153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.32
260,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33
261,133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88
262,277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
263,150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28,13.46
264,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73
265,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
266,192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
267,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64
268,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32
269,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
270,298.0,0.0,107.0,186.0,6.0,879.0,815.0,28,42.64
271,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
272,252.3,0.0,98.8,146.3,14.2,987.8,889.0,28,50.6
273,355.9,0.0,141.6,193.3,11.0,801.4,778.4,28,40.87
274,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
275,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56
276,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5
277,393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.6
278,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
279,183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,10.79
280,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
281,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,3,12.55
282,312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1
283,299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84
284,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
285,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24
286,284.0,15.0,141.0,179.0,5.5,842.0,801.0,3,13.4
287,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86
288,397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,39.09
289,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
290,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
291,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100,44.21
292,160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.31
293,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.44
294,157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.66
295,339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,27.04
296,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
297,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36
298,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
299,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,56,46.64
300,252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
301,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27
302,140.0,133.0,103.0,200.0,7.0,916.0,753.0,28,36.44
303,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8
304,385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,23.22
305,350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
306,250.0,0.0,95.7,191.8,5.3,948.9,857.2,28,27.22
307,160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
308,250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82
309,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9
310,277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
311,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
312,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
313,255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86
314,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06
315,166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
316,321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21
317,451.0,0.0,0.0,165.0,11.3,1030.0,745.0,28,78.8
318,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.72
319,143.6,0.0,174.9,158.4,17.9,942.7,844.5,28,15.42
320,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
321,339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04
322,108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
323,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54
324,337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9
325,326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63
326,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62
327,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66
328,288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14
329,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
330,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2
331,336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87
332,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
333,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,52.61
334,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7
335,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,14,26.05
336,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
337,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
338,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55
339,337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.8
340,310.0,143.0,111.0,168.0,22.0,914.0,651.0,28,33.69
341,339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45
342,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
343,321.4,0.0,127.9,182.5,11.5,870.1,779.7,28,37.27
344,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07
345,307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,12.54
346,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56,56.85
347,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1
348,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14,29.59
349,318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
350,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5
351,250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
352,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
353,313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8
354,250.2,166.8,0.0,203.5,0.0,977.6,694.1,90,47.71
355,233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66
356,157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
357,284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,43.73
358,150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28,37.43
359,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
